"Ano:2016 Modelo: Todos Data: 06/12/2016
Categoria: Todas Motor: Todos Última Atualização: 06/12/2016
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano2016
35Marcas
Valor de CO2 da
1102 Modelos/Versões emissão no
escapamento referente Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
349Modelo(s) com Selo CONPET ao combustível de simular condições mais comuns de utilização. O consumo percebido pelo motorista poderá
origem fóssil não variar para mais ou para menos, dependendo das condições de uso. Para saber por que,
renovável consulte: www.inmetro.gov.br e www.conpet.gov.br",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
Categoria,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",1,2016,
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,1,2016,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,1,2016,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,1,2016,
"MICRO
COMPACTO",CHERY,New QQ,1.0­12V,"QQ 1,0",M­5,S,H,G,"0,020","0,130","0,017",A,\,103,\,\,"12,3","13,8","1,67",A,A,SIM,1,2016,
"MICRO
COMPACTO",CHERY,New QQ,1.0­12V,"QQ 1,0 Act",M­5,S,H,G,"0,020","0,130","0,017",A,\,103,\,\,"12,3","13,8","1,67",A,A,SIM,1,2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Look,M­5,S,H,G,"0,018","0,179","0,021",A,\,107,\,\,"11,9","13,1","1,73",A,B,SIM,1,2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Look Plus,M­5,S,H,G,"0,018","0,179","0,021",A,\,107,\,\,"11,9","13,1","1,73",A,B,SIM,1,2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Smile,M­5,S,H,G,"0,018","0,179","0,021",A,\,107,\,\,"11,9","13,1","1,73",A,B,SIM,1,2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Smile Plus,M­5,S,H,G,"0,018","0,179","0,021",A,\,107,\,\,"11,9","13,1","1,73",A,B,SIM,1,2016,
