Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,Quilometragem por Litro,None_5,None_6,None_7,"Consumo
Energético
(MJ/km)","Classificação
PBE",None_8,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,1,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,1,2019
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,1,2019
Sub Compacto,CAOA CHERY,NEW QQ,"1.0 LOOK / 1.0 LOOK PLUS / 1.0
SMILE / 1.0 SMILE PLUS / 1.0 ACT /
1.0 ACT PLUS",1.0 - 12V,M-5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,-,1,2019
Sub Compacto,KIA,PICANTO,EX5/ LX5 1.0 FF MT,1.0 - 12V,M-5,S,E,F,"0,013","0,364","0,055",C,0,104,"7,9","10,3","11,6","15,0","1,69",E,B,-,1,2019
Sub Compacto,KIA,PICANTO,EX5/ LX5 1.0 FF AT,1.0 - 12V,A-4,S,E,F,"0,012","0,353","0,041",B,0,105,"8,1","9,9","11,4","14,7","1,70",E,B,-,1,2019
Sub Compacto,VW,up!,move,1.0-12V,M-5,S,E,F,"0,023","0,218","0,032",B,0,89,"9,6","10,6","14,2","15,3","1,46",B,A,SIM,1,2019
Sub Compacto,VW,up!,move (I-Motion),1.0-12V,MTA-5,S,E,F,"0,037","0,599","0,018",C,0,89,"9,4","10,6","14,0","15,8","1,47",B,A,SIM,1,2019
Sub Compacto,VW,up! TSI,"move (Rodas aro 14"")",1.0-12V,M-5,S,E,F,"0,027","0,296","0,031",B,0,86,"10,0","11,5","14,3","16,3","1,40",A,A,SIM,1,2019
Sub Compacto,VW,up! TSI,"move (Rodas aro 15"")
/ pepper",1.0-12V,M-5,S,E,F,"0,032","0,357","0,026",B,0,88,"9,6","11,1","14,1","16,0","1,44",A,A,SIM,1,2019
Sub Compacto,VW,up! TSI,cross,1.0-12V,M-5,S,E,F,"0,022","0,189","0,032",B,0,93,"9,5","10,4","13,7","14,7","1,50",B,B,-,1,2019
Sub Compacto,FIAT,500,CULT,1.4-8V,M-5,S,E,F,"0,007","0,316","0,024",A,0,111,"8,0","9,0","11,4","13,0","1,79",E,B,-,1,2019
Sub Compacto,FIAT,MOBI,DRIVE,1.0-6V,M-5,S,E,F,"0,010","0,320","0,017",B,0,90,"9,6","11,3","13,7","16,1","1,45",B,A,SIM,1,2019
Sub Compacto,FIAT,MOBI,DRIVE GSR,1.0-6V,MTA-5,S,E,F,"0,014","0,195","0,020",B,0,89,"9,8","11,1","14,0","15,9","1,43",A,A,SIM,1,2019
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,H,F,"0,017","0,489","0,019",B,0,92,"9,2","10,2","13,5","15,2","1,52",C,B,-,1,2019
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,F,"0,014","0,471","0,027",B,0,99,"8,8","9,9","12,7","14,3","1,61",D,B,-,1,2019
Sub Compacto,FIAT,MOBI,WAY,1.0-8V,M-5,S,H,F,"0,014","0,408","0,023",B,0,100,"8,7","9,7","12,6","14,2","1,62",D,B,-,1,2019
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,S,H,F,"0,014","0,471","0,027",B,0,99,"8,8","9,9","12,7","14,3","1,61",D,B,-,1,2019
Sub Compacto,FIAT,NOVO UNO,DRIVE,1.0-6V,M-5,S,E,F,"0,017","0,279","0,018",B,0,94,"9,1","10,6","13,2","15,2","1,52",C,B,-,1,2019
Sub Compacto,FIAT,NOVO UNO,ATTRACTIVE,1.0-8V,M-5,S,H,F,"0,009","0,217","0,008",A,0,108,"8,0","9,4","11,6","13,4","1,75",E,B,-,1,2019
Sub Compacto,Renault,Twizy,Intense,Elétrico,AUT,N,M,G,"0,000","0,000","0,000",A,\,0,\,\,"45,8","43,0","0,39",A,A,SIM,1,2019
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,2,2019
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,2,2019
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,2,2019
Compacto,NISSAN,NEW MARCH,10 Conforto / 10 S / 10 SV,1.0 - 12V,M-5,S,E,F,"0,023","0,559","0,003",B,0,96,"8,8","10,4","12,9","15,0","1,57",A,B,SIM,2,2019
Compacto,NISSAN,NEW MARCH,16 S / 16 SV / 16 SL,1.6 - 16V,M-5,S,E,F,"0,031","0,664","0,005",B,0,99,"8,5","9,9","12,6","14,4","1,63",B,B,-,2,2019
Compacto,NISSAN,NEW MARCH,16 SV / 16 SL,1.6 - 16V,CVT,S,E,F,"0,024","0,163","0,014",B,0,104,"7,8","9,8","11,7","14,5","1,72",C,B,-,2,2019
Compacto,Citroën,C3,Origine / Attraction / Tendance,1.2 12v,M-5,S,E,F,"0,015","0,377","0,029",B,0,94,"9,3","10,1","13,2","14,8","1,53",A,B,SIM,2,2019
Compacto,Citroën,C3,"ATTRACTION A / EXCLUSIVE A /
URBAN TRAIL A",1.6 16v,A-6,S,E,F,"0,023","0,795","0,025",B,0,113,"7,6","9,3","10,9","13,2","1,83",D,C,-,2,2019
Compacto,Peugeot,208,GT,"1.6 THP
16V Flex",M-6,S,E,F,"0,012","0,176","0,021",A,0,104,"8,2","9,5","12,0","13,8","1,70",C,B,-,2,2019
Compacto,Peugeot,208,Active MT / Act Pack MT / Allure MT,1.2 12v,M-5,S,E,F,"0,017","0,404","0,026",B,0,89,"9,6","10,7","13,9","15,5","1,46",A,A,SIM,2,2019
Compacto,Peugeot,208,GRIFFE EAT6 / ACTIVE PK AT,1.6 16v,A-6,S,E,F,"0,014","0,459","0,026",B,0,112,"7,7","9,3","11,0","13,2","1,82",D,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,M-6,S,E,F,"0,021","0,619","0,024",B,0,100,"8,6","9,8","12,6","14,2","1,63",B,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK",X,1.3-16V,A-4,S,E,F,"0,023","0,507","0,008",B,0,107,"8,2","9,2","11,8","13,3","1,74",C,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS",1.5-16V,M-6,S,E,F,"0,024","0,654","0,032",B,0,101,"8,3","9,8","12,4","14,1","1,66",B,B,-,2,2019
Compacto,TOYOTA,"ETIOS
HATCHBACK","XS / XLS / X PLUS / PLATINUM /
CROSS / READY",1.5-16V,A-4,S,E,F,"0,028","0,504","0,016",B,0,107,"8,1","9,2","11,9","13,2","1,74",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT ACT,1.4L - 8V,A-6,S,E,F,"0,019","0,505","0,019",B,0,114,"7,6","8,7","11,1","12,7","1,86",D,C,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4AT LTZ,1.4L - 8V,A-6,S,E,F,"0,025","0,593","0,028",B,0,106,"7,9","9,7","11,6","14,0","1,73",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT ACT,1.4L - 8V,M-6,S,E,F,"0,029","0,667","0,024",B,0,103,"8,3","9,4","12,2","13,7","1,69",C,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.4MT EFF,1.4L - 8V,M-6,S,E,F,"0,017","0,554","0,015",B,0,99,"8,5","10,3","12,4","14,9","1,61",B,B,-,2,2019
Compacto,CHEVROLET,ONIX (MY19),1.0MT LT,1.0L - 8V,M-6,S,E,F,"0,031","0,482","0,008",B,0,95,"8,8","10,5","12,9","15,3","1,56",A,B,SIM,2,2019
