categoria,marca,modelo,motor,versao,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Look,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Look Plus,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Smile,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Smile Plus,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Act,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,ACT Plus,M­5,S,H,F,"8,9","9,9","12,9","14,4",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­6V,Drive,M­5,S,H,F,"9,7","11,5","13,8","16,4",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­8V,Drive GSR,M­5,S,H,F,"9,5","11,3","13,7","15,9",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­8V,Easy,M­5,N,H,F,"9,2","10,2","13,5","15,2",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­8V,Like,M­5,S,H,F,"8,8","9,9","12,7","14,3",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­8V,Way,M­5,S,H,F,"8,7","9,7","12,6","14,2",2020
"SUB
COMPACTO",FIAT,Mobi,1.0­8V,Easy,M­5,S,H,F,"8,8","9,9","12,7","14,3",2020
"SUB
COMPACTO",FIAT,Novo Uno,1.0­6V,Drive,M­5,S,E,F,"9,1","10,6","13,2","15,2",2020
"SUB
COMPACTO",FIAT,Novo Uno,1.0­8V,Attractive,M­5,S,H,F,"8,0","9,4","11,6","13,4",2020
"SUB
COMPACTO",FIAT,Novo Uno,1.0­6V,Way,M­5,S,E,F,"9,1","10,6","13,2","15,2",2020
"SUB
COMPACTO",RENAULT,Twizy,Elétrico,Intense,A,N,M,E,\,\,"58,4","47,1",2020
"SUB
COMPACTO",VW,up!,1.0­12V,MPI,M­5,S,E,F,"9,6","10,6","14,2","15,3",2020
"SUB
COMPACTO",VW,up! TSI,1.0­12V,Connect 170TSI,M­5,S,E,F,"9,6","11,1","14,1","16,0",2020
"SUB
COMPACTO",VW,up! TSI,1.0­12V,Xtreme 170TSI,M­5,S,E,F,"9,5","10,4","13,7","14,7",2020
COMPACTO,MINI,Cooper,1.5­12v,5P,DCT­7,S,E­H,G,\,\,"12,1","13,5",2020
COMPACTO,MINI,Cooper,2.0­16v,S 5P,DCT­7,S,E­H,G,\,\,"11,6","14,3",2020
COMPACTO,NISSAN,New March,1.0­12V,Conforto,M­5,S,E,F,"8,8","10,4","12,9","15,0",2020
COMPACTO,NISSAN,New March,1.0­12V,S,M­5,S,E,F,"8,8","10,4","12,9","15,0",2020
COMPACTO,NISSAN,New March,1.0­12V,SV,M­5,S,E,F,"8,8","10,4","12,9","15,0",2020
COMPACTO,NISSAN,New March,1.6­16V,S,M­5,S,E,F,"8,5","9,9","12,6","14,4",2020
COMPACTO,NISSAN,New March,1.6­16V,SV,M­5,S,E,F,"8,5","9,9","12,6","14,4",2020
COMPACTO,NISSAN,New March,1.6­16V,SL,M­5,S,E,F,"8,5","9,9","12,6","14,4",2020
COMPACTO,NISSAN,New March,1.6­16V,SV,CVT,S,E,F,"7,8","9,8","11,7","14,5",2020
COMPACTO,NISSAN,New March,1.6­16V,SL,CVT,S,E,F,"7,8","9,8","11,7","14,5",2020
COMPACTO,NISSAN,New March,1.6­16V,Sedit,CVT,S,E,F,"7,8","9,8","11,7","14,5",2020
COMPACTO,FORD,Ka Hatch,1.0­12V,S,M­5,S,E,F,"9,3","10,8","13,3","15,6",2020
COMPACTO,FORD,Ka Hatch,1.0­12V,SE,M­5,S,E,F,"9,3","10,8","13,3","15,6",2020
COMPACTO,FORD,Ka Hatch,1.0­12V,SE Plus,M­5,S,E,F,"9,3","10,8","13,3","15,6",2020
COMPACTO,FORD,Ka Hatch,1.0­12V,FreeStyle,M­5,S,E,F,"9,1","10,4","13,0","15,1",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,SE,M­5,S,E,F,"8,8","10,5","12,4","14,8",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,SE Plus,M­5,S,E,F,"8,8","10,5","12,4","14,8",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,SE,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,SE Plus,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,Titanium,A­6,S,E,F,"8,4","9,9","11,7","14,5",2020
COMPACTO,FORD,Ka Hatch,1.5­12V,FreeStyle,A­6,S,E,F,"7,5","9,4","10,7","13,5",2020
COMPACTO,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2020
COMPACTO,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2020
COMPACTO,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2020
COMPACTO,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2020
COMPACTO,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2020
COMPACTO,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,"8,3","9,9","12,3","14,1",2020
COMPACTO,HONDA,Fit,1.5­16V,Personal,CVT,S,E,F,"8,3","9,9","12,3","14,1",2020
COMPACTO,PEUGEOT,208,1.2­12V,Active Pack,M­5,S,E,F,"9,6","10,7","13,9","15,5",2020
COMPACTO,PEUGEOT,208,1.2­12V,Active,M­5,S,E,F,"9,6","10,7","13,9","15,5",2020
COMPACTO,PEUGEOT,208,1.2­12V,Allure,M­5,S,E,F,"9,6","10,7","13,9","15,5",2020
COMPACTO,PEUGEOT,208,1.6­16V,Griffe,A­6,S,E,F,"7,7","9,3","11,0","13,2",2020
COMPACTO,PEUGEOT,208,1.6­16V,Allure,A­6,S,E,F,"7,7","9,3","11,0","13,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X STD,M­6,S,E,F,"8,6","9,8","12,6","14,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X VSC,M­6,S,E,F,"8,6","9,8","12,6","14,2",2020
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X VSC,A­4,S,E,F,"8,2","9,2","11,8","13,3",2020
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,X Plus,M­6,S,E,F,"8,3","9,8","12,4","14,1",2020
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,X Plus,A­4,S,E,F,"8,1","9,2","11,9","13,2",2020
COMPACTO,FIAT,Argo,1.0­6V,Drive,M­5,S,E,F,"9,3","10,0","13,2","14,2",2020
COMPACTO,FIAT,Argo,1.0­6V,"Drive (Stop &
Start)",M­5,S,E,F,"9,8","10,3","14,2","14,5",2020
COMPACTO,FIAT,Argo,1.3­8V,Drive,M­5,S,E,F,"8,9","10,4","12,5","14,7",2020
