categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,BYD,DOLPHIN MINI,GS EV,Elétrico,N.A.,S,E,E,\,\,\,\,2025
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,Elétrico,A-,S,E,E,\,\,\,\,2025
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,A-1,S,E,E,\,\,\,\,2025
Sub Compacto,FIAT,MOBI,TREKKING,1.0-6V,M-5,S,E,F,9.8,10.6,14.0,15.1,2025
Sub Compacto,FIAT,MOBI,LIKE,1.0-6V,M-5,S,E,F,9.8,10.6,14.0,15.1,2025
Sub Compacto,JAC,e-JS1,e-JS1,Elétrico,A-1,S,E,E,\,\,\,\,2025
Sub Compacto,JAC,e-JS1,e-JS1 EXT,Elétrico,A-1,S,E,E,\,\,\,\,2025
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,A,S,E,E,\,\,\,\,2025
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,9.4,10.4,13.6,14.5,2025
Compacto,FIAT,ARGO,DRIVE 1.0,1.0-6V,M-5,S,E,F,9.4,10.4,13.6,14.5,2025
Compacto,FIAT,ARGO,DRIVE 1.3 AT,1.3-8V,CVT-7,S,E,F,9.0,10.3,12.8,14.3,2025
Compacto,Hyundai,HB20,Sense,1.0-12V T,M-5,S,E,F,9.9,10.7,13.3,15.4,2025
Compacto,Hyundai,HB20,Comfort,1.0-12V T,M-5,S,E,F,9.9,10.7,13.3,15.4,2025
Compacto,Hyundai,HB20,Limited,1.0-12V T,M-5,S,E,F,9.9,10.7,13.3,15.4,2025
Compacto,Hyundai,HB20,Platinum,1.0-12V T,M-5,S,E,F,9.9,10.7,13.3,15.4,2025
Compacto,Hyundai,HB20,SE,1.0-12V T,M-5,S,E,F,9.9,10.7,13.3,15.4,2025
Compacto,Hyundai,HB20,Comfort,1.0-12V T,A-6,S,E,F,9.2,10.2,13.2,14.7,2025
Compacto,Hyundai,HB20,Platinum Safety,1.0-12V T,A-6,S,E,F,9.2,10.2,13.2,14.7,2025
Compacto,Hyundai,HB20,SE,1.0-12V T,A-6,S,E,F,9.2,10.2,13.2,14.7,2025
Compacto,MINI,Cooper,S 3P EXCLUSIVE,2.0 - 16V,A-7,S,E,G,\,\,11.5,14.0,2025
Compacto,MINI,Cooper,S 3P SPORT,2.0 - 16V,A-7,S,E,G,\,\,11.5,14.0,2025
Compacto,MINI,Cooper,S 3P TOP,2.0 - 16V,A-7,S,E,G,\,\,11.5,14.0,2025
Compacto,MINI,Cooper,E,Elétrico,A,S,E,E,\,\,\,\,2025
Compacto,MINI,Cooper,SE,Elétrico,A,S,E,E,\,\,\,\,2025
Compacto,MINI,JCW,3P,2.0 - 16V,A-7,S,E,G,\,\,10.8,13.9,2025
Compacto,NETA,AYA,COMFORT 4S,ELÉTRICO,A,S,E,E,\,\,\,\,2025
Compacto,NETA,AYA,LUXURY 4S,ELÉTRICO,A,S,E,E,\,\,\,\,2025
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,M-5,S,E,F,9.5,10.8,13.6,15.3,2025
Compacto,PEUGEOT,208,ACTIVE MT,1.0-6V,M-5,S,E,F,9.5,10.8,13.6,15.3,2025
Compacto,PEUGEOT,208,ALLUR T200,1.0T-12V,CVT-7,S,E,F,8.8,10.1,12.6,14.3,2025
Compacto,PEUGEOT,208,GT T200,1.0T-12V,CVT-7,S,E,F,8.3,9.7,12.0,13.7,2025
Compacto,PEUGEOT,E-208,GT,ELÉTRICO,A-1,S,E,E,\,\,\,\,2025
Médio,BYD,DOLPHIN,GS 180EV,Elétrico,N.A.,S,E,E,\,\,\,\,2025
Médio,BYD,DOLPHIN,PLUS 310EV,Elétrico,N.A.,S,E,E,\,\,\,\,2025
Médio,BYD,YUAN PRO,GS 290EV,Elétrico,N.A.,S,E,E,\,\,\,\,2025
Médio,CAOA CHERY,TIGGO 7,PHEV,1.5T -16V,DHT,S,E,G,\,\,12.3,11.9,2025
Médio,CHEVROLET,ONIX,MT,1.0 - 12 V,M-6,S,E,F,9.6,11.9,13.8,16.9,2025
Médio,CHEVROLET,ONIX,LT,1.0 - 12 V,M-6,S,E,F,9.6,11.9,13.8,16.9,2025
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,M-6,S,E,F,9.3,11.7,13.5,16.7,2025
Médio,CHEVROLET,ONIX,AT,1.0T - 12V,A-6,S,E,F,8.2,10.5,12.0,14.8,2025
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,A-6,S,E,F,8.2,10.5,12.0,14.8,2025
Médio,CHEVROLET,ONIX,LTZ,1.0T - 12V,A-6,S,E,F,8.2,10.5,12.0,14.8,2025
