categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
"SUB
COMPACTO",CHERY,QQ 1.0,1.0­12V,1,M­5,S,H,G,\,\,"11,8","13,9",2015
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult,M­5,S,E,F,"7,6","8,7",11,"12,7",2015
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult Dualogic,MTA­5,S,E,F,"7,7","8,7","11,2","12,8",2015
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult Cabrio,M­5,S,E,F,"7,6","8,2","10,9","11,9",2015
"SUB
COMPACTO",FIAT,500,1.4­8V,"Cult Cabrio
Dualogic",MTA­5,S,E,F,"7,6","8,2",11,12,2015
"SUB
COMPACTO",FIAT,500,1.4­16V,"Cabrio
Automático",A­6,S,E,F,"6,9","8,3",10,"12,1",2015
"SUB
COMPACTO",FIAT,500,1.4­16V,Abarth,M­5,S,E,G,\,\,"9,5","10,9",2015
"SUB
COMPACTO",FIAT,Uno,1.0­8V,Vivace,M­5,N,M,F,"8,2","10,4","11,8",15,2015
"SUB
COMPACTO",FIAT,Novo Uno,1.0­8V,Attractive,M­5,N,H,F,"8,4","10,3",12,"14,8",2015
"SUB
COMPACTO",FIAT,Novo Uno,1.0­8V,Way,M­5,S,H,F,8,"9,1","11,5",13,2015
"SUB
COMPACTO",FIAT,Novo Uno,1.4­8V,Sporting,M­5,S,H,F,"7,8","8,6","11,2","12,5",2015
"SUB
COMPACTO",FIAT,Novo Uno,1.4­8V,Sporting,MTA­5,S,H,F,"7,7","8,5","11,1","12,3",2015
"SUB
COMPACTO",FIAT,Novo Uno,1.4­8V,Evolution S&S,M­5,N,H,F,"8,9","10,5","12,9","15,1",2015
"SUB
COMPACTO",FIAT,Palio,1.0­8V,Fire,M­5,N,M,F,"8,8","10,3","12,3",15,2015
"SUB
COMPACTO",FIAT,Palio,1.0­8V,Fire Way,M­5,N,M,F,"8,2",10,"11,9","14,6",2015
"SUB
COMPACTO",JAC,J2,1.4­16V,*****,M­5,S,E,G,\,\,"11,9","12,7",2015
"SUB
COMPACTO",JAC,J2,1.4­16V,"1,4",M­5,S,E,G,\,\,"11,9","12,7",2015
"SUB
COMPACTO",JAC,J2,1.4­16V,"1,4 JETFLEX",M­5,S,E,F,"8,4","8,7",12,"12,5",2015
"SUB
COMPACTO",KIA,Picanto,1.0­12V,EX4,M­5,S,E,F,"8,2","9,8",12,"14,4",2015
"SUB
COMPACTO",KIA,Picanto,1.0­12V,"LX4 1,0 MT FF",M­5,S,E,F,"8,2","9,8",12,"14,4",2015
"SUB
COMPACTO",KIA,Picanto,1.0­12V,EX4,A­4,S,E,F,"8,3","9,4","11,4","13,1",2015
"SUB
COMPACTO",KIA,Picanto,1.0­12V,"LX4 1,0 AT FF",A­4,S,E,F,"8,3","9,4","11,4","13,1",2015
"SUB
COMPACTO",NISSAN,March,1.0­16V,Active 10,M­5,S,E,F,"8,4","9,7","12,3","14,5",2015
"SUB
COMPACTO",RENAULT,Clio,1.0­16V,Authentique,M­5,S,H,F,"9,1","9,6","13,1","14,3",2015
"SUB
COMPACTO",RENAULT,Clio,1.0­16V,Expression,M­5,S,H,F,"9,1","9,6","13,1","14,3",2015
"SUB
COMPACTO",RENAULT,Clio,1.0­16V,Authentique,M­5,N,M,F,"9,5","10,7","14,3","15,8",2015
"SUB
COMPACTO",RENAULT,Clio,1.0­16V,Expression,M­5,N,M,F,"9,5","10,7","14,3","15,8",2015
"SUB
COMPACTO",SMART,Fortwo,1.0­12V,"71cv MHD
coupé",MTA­5,S,E,G,\,\,"13,2","14,4",2015
"SUB
COMPACTO",SMART,Fortwo,1.0­12V,"84cv turbo
coupé",MTA­5,S,E,G,\,\,"13,2","14,2",2015
"SUB
COMPACTO",SMART,Fortwo,1.0­12V,"84cv turbo
cabrio",MTA­5,S,E,G,\,\,"13,2","14,2",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,Take,M­5,S,E,F,"9,2","10,2","13,5","14,6",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,Move,M­5,S,E,F,"9,2","10,2","13,5","14,6",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,High,M­5,S,E,F,"9,2","10,2","13,5","14,6",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,BWR,M­5,S,E,F,"9,2","10,2","13,5","14,6",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,Move I­Motion,MTA­5,S,E,F,"9,2","10,2","13,2","14,8",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,High I­Motion,MTA­5,S,E,F,"9,2","10,2","13,2","14,8",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,BWR I­Motion,MTA­5,S,E,F,"9,2","10,2","13,2","14,8",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,Cross,M­5,S,E,F,"9,1",10,"13,4","14,3",2015
"SUB
COMPACTO",VOLKSWAGEN,Up!,1.0­12V,Cross I­Motion,MTA­5,S,E,F,"9,1",10,"13,1","14,4",2015
"SUB
COMPACTO",VOLKSWAGEN,Up! TSI,1.0­12V,Cross,M­5,S,E,F,"9,5","10,4","13,7","14,7",2015
"SUB
COMPACTO",VOLKSWAGEN,Up! TSI,1.0­12V,Move,M­5,S,E,F,"9,6","11,1","13,8","16,1",2015
"SUB
COMPACTO",VOLKSWAGEN,Up! TSI,1.0­12V,High,M­5,S,E,F,"9,6","11,1","13,8","16,1",2015
"SUB
COMPACTO",VOLKSWAGEN,Up! TSI,1.0­12V,BWR,M­5,S,E,F,"9,6","11,1","13,8","16,1",2015
"SUB
COMPACTO",VOLKSWAGEN,Up! TSI,1.0­12V,Speed,M­5,S,E,F,"9,6","11,1","13,8","16,1",2015
COMPACTO,CITROEN,C3,1.5­8V,Origine,M­5,S,E,F,"7,5","9,3","11,9","14,7",2015
COMPACTO,CITROEN,C3,1.5­8V,Tendance,M­5,S,E,F,"7,5","9,3","11,9","14,7",2015
COMPACTO,CITROEN,C3,1.5­8V,Exclusive,M­5,S,E,F,"7,5","9,3","11,9","14,7",2015
COMPACTO,CITROEN,C3,1.5­8V,Attraction,M­5,S,E,F,"7,5","9,3","11,9","14,7",2015
COMPACTO,CITROEN,DS3,1.6­16V,Chic THP,M­6,S,E,G,\,\,"11,3","14,4",2015
COMPACTO,CITROEN,DS3,1.6­16V,So Chic THP,M­6,S,E,G,\,\,"11,3","14,4",2015
COMPACTO,FIAT,Idea,1.6­16V,Essence,M­5,S,H,F,"6,8",8,"9,9","11,5",2015
COMPACTO,FIAT,Idea,1.6­16V,Essence,MTA­5,S,H,F,"6,7","7,9",10,"11,8",2015
COMPACTO,FIAT,Novo Palio,1.4­8V,Attractive,M­5,S,H,F,"7,4","9,3","10,8","13,5",2015
COMPACTO,FIAT,Novo Palio,1.0­8V,Attractive,M­5,S,H,F,"7,3","9,4","10,8","13,6",2015
COMPACTO,FIAT,Punto,1.4­8V,"Attractive
Evo",M­5,S,H,F,"7,4","8,5","10,4","12,3",2015
COMPACTO,FIAT,Punto,1.6­16V,Essence,M­5,S,H,F,"6,8","8,4",10,12,2015
COMPACTO,FIAT,Punto,1.6­16V,"Essence
Dualogic",MTA­5,S,H,F,"6,9","8,1","10,1","11,9",2015
COMPACTO,FIAT,Siena,1.0­8V,EL,M­5,N,M,F,8,"9,7","11,9","14,4",2015
COMPACTO,FIAT,Siena,1.4­8V,EL,M­5,S,H,F,"7,1","8,8","10,6","13,2",2015
COMPACTO,FORD,New Fiesta Hatch,1.5­16V,S,M­5,S,E,F,"7,6","9,4","10,7","13,4",2015
COMPACTO,FORD,New Fiesta Hatch,1.5­16V,SE,M­5,S,E,F,"7,6","9,4","10,7","13,4",2015
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SE,DCT­6,S,E,F,"7,7",10,11,"14,3",2015
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,Titanium,DCT­6,S,E,F,"7,7",10,11,"14,3",2015
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,SE,M­5,S,E,F,8,"9,9","11,7","14,1",2015
COMPACTO,FORD,New Fiesta Hatch,1.6­16V,Titanium,M­5,S,E,F,8,"9,9","11,7","14,1",2015
COMPACTO,FORD,KA (5 Portas),1.0­12V,SE,M­5,S,E,F,"8,9","10,4",13,"15,1",2015
COMPACTO,FORD,KA (5 Portas),1.0­12V,SEL,M­5,S,E,F,"8,9","10,4",13,"15,1",2015
COMPACTO,FORD,KA (5 Portas),1.5­16V,SE,M­5,S,E,F,"7,9","9,5","11,5","13,6",2015
COMPACTO,FORD,KA (5 Portas),1.5­16V,SEL,M­5,S,E,F,"7,9","9,5","11,5","13,6",2015
COMPACTO,HONDA,Fit,1.5­16V,DX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2015
COMPACTO,HONDA,Fit,1.5­16V,LX,M­5,S,E,F,"8,3","9,5","11,6","13,6",2015
COMPACTO,HONDA,Fit,1.5­16V,DX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2015
COMPACTO,HONDA,Fit,1.5­16V,LX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2015
COMPACTO,HONDA,Fit,1.5­16V,EX,CVT,S,E,F,"8,3","9,9","12,3","14,1",2015
COMPACTO,HONDA,Fit,1.5­16V,EXL,CVT,S,E,F,"8,3","9,9","12,3","14,1",2015
COMPACTO,HYUNDAI,HB20,1.0­12V,Comfort,M­5,S,H,F,"8,3","9,8","11,8",14,2015
COMPACTO,HYUNDAI,HB20,1.0­12V,Plus,M­5,S,H,F,"8,3","9,8","11,8",14,2015
COMPACTO,HYUNDAI,HB20,1.0­12V,Style,M­5,S,H,F,"8,3","9,8","11,8",14,2015
COMPACTO,HYUNDAI,HB20,1.6­16V,Comfort,M­5,S,H,F,"7,7","9,3","11,5",13,2015
COMPACTO,HYUNDAI,HB20,1.6­16V,Plus,M­5,S,H,F,"7,7","9,3","11,5",13,2015
COMPACTO,HYUNDAI,HB20,1.6­16V,Style,M­5,S,H,F,"7,7","9,3","11,5",13,2015
COMPACTO,HYUNDAI,HB20,1.6­16V,Premium,M­5,S,H,F,"7,7","9,3","11,5",13,2015
COMPACTO,HYUNDAI,HB20X,1.6­16V,Style,M­5,S,H,F,8,"9,3","11,4","12,9",2015
COMPACTO,HYUNDAI,HB20X,1.6­16V,Premium,M­5,S,H,F,8,"9,3","11,4","12,9",2015
COMPACTO,HYUNDAI,HB20X,1.6­16V,Style,A­4,S,H,F,7,"8,3","9,9","11,7",2015
COMPACTO,HYUNDAI,HB20X,1.6­16V,Premium,A­4,S,H,F,7,"8,3","9,9","11,7",2015
COMPACTO,HYUNDAI,HB20 (2016),1.0­12V,Comfort,M­5,S,H,F,"8,5","9,9","12,5","14,1",2015
COMPACTO,HYUNDAI,HB20 (2016),1.0­12V,Plus,M­5,S,H,F,"8,5","9,9","12,5","14,1",2015
COMPACTO,HYUNDAI,HB20 (2016),1.0­12V,Style,M­5,S,H,F,"8,5","9,9","12,5","14,1",2015
COMPACTO,HYUNDAI,HB20 (2016),1.6­16V,Comfort,M­6,S,H,F,"8,1","9,9","11,6","13,8",2015
COMPACTO,HYUNDAI,HB20 (2016),1.6­16V,Plus,M­6,S,H,F,"8,1","9,9","11,6","13,8",2015
COMPACTO,HYUNDAI,HB20 (2016),1.6­16V,Style,M­6,S,H,F,"8,1","9,9","11,6","13,8",2015
COMPACTO,HYUNDAI,HB20 (2016),1.6­16V,Premium,M­6,S,H,F,"8,1","9,9","11,6","13,8",2015
COMPACTO,JAC,J3,1.4­16V,*****,M­5,S,H,G,\,\,"11,2","12,7",2015
COMPACTO,JAC,J3,1.4­16V,"1,4",M­5,S,H,G,\,\,"11,2","12,7",2015
COMPACTO,JAC,J3,1.4­16V,Turin,M­5,S,H,G,\,\,"11,3","12,8",2015
COMPACTO,MINI,One,1.2­12V,­,M­6,S,E­H,G,\,\,11,"15,9",2015
COMPACTO,MINI,Cooper,1.5­12V,­,A­6,S,E­H,G,\,\,"10,6","12,2",2015
COMPACTO,MINI,Cooper,1.5­16v,5P,A­6,S,E­H,G,\,\,"11,1","13,7",2015
COMPACTO,MINI,Cooper,2.0­16v,S 5P,A­6,S,E­H,G,\,\,"9,9","13,1",2015
COMPACTO,NISSAN,New March,1.0­12V,MT,M­5,S,E,F,"8,8","10,3","12,9","15,1",2015
COMPACTO,NISSAN,New March,1.0­12V,S,M­5,S,E,F,"8,8","10,3","12,9","15,1",2015
COMPACTO,NISSAN,New March,1.0­12V,SV,M­5,S,E,F,"8,8","10,3","12,9","15,1",2015
COMPACTO,NISSAN,New March,1.6­16V,S,M­5,S,E,F,"8,1",10,"12,1","14,5",2015
COMPACTO,NISSAN,New March,1.6­16V,SV,M­5,S,E,F,"8,1",10,"12,1","14,5",2015
COMPACTO,NISSAN,New March,1.6­16V,SL,M­5,S,E,F,"8,1",10,"12,1","14,5",2015
COMPACTO,NISSAN,New March,1.0­16V,S,M­5,S,E,F,"8,7","10,4","12,5","14,8",2015
COMPACTO,NISSAN,New March,1.0­16V,SV,M­5,S,E,F,"8,7","10,4","12,5","14,8",2015
COMPACTO,NISSAN,New March,1.0­16V,MT,M­5,S,E,F,"8,7","10,4","12,5","14,8",2015
COMPACTO,PEUGEOT,208,1.5­8V,Active,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.5­8V,Active Pack,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.5­8V,Allure,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.5­8V,Like,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.5­8V,Style,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.5­8V,Quiksilver,M­5,S,E,F,8,"9,6","11,6","14,3",2015
COMPACTO,PEUGEOT,208,1.6­16V,Griffe,M­5,S,E,F,"7,1","8,9","10,6","12,9",2015
COMPACTO,RENAULT,Novo Sandero,1.0­16V,Authentique,M­5,S,H,F,"8,1","9,2","11,9","13,4",2015
COMPACTO,RENAULT,Novo Sandero,1.0­16V,Expression,M­5,S,H,F,"8,1","9,2","11,9","13,4",2015
COMPACTO,RENAULT,Novo Sandero,1.6­8V,Expression,M­5,S,H,F,"7,3","8,7","10,6","12,5",2015
COMPACTO,RENAULT,Novo Sandero,1.6­8V,Dynamique,M­5,S,H,F,"7,3","8,7","10,6","12,5",2015
COMPACTO,SUZUKI,Swift,1.6­16V,2WD,M­6,S,E,G,\,\,10,12,2015
COMPACTO,TOYOTA,Etios Hatchback,1.3­16V,X,M­5,S,E,F,"8,3","9,1","12,2","13,3",2015
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,XS,M­5,S,E,F,"8,5","9,5","12,2","13,8",2015
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,XLS,M­5,S,E,F,"8,5","9,5","12,2","13,8",2015
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,Cross,M­5,S,E,F,"8,5","9,5","12,2","13,8",2015
COMPACTO,TOYOTA,Etios Hatchback,1.5­16V,Platinum,M­5,S,E,F,"8,5","9,5","12,2","13,8",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,"BlueMotion
Technology",M­5,N,H,F,8,"10,1","11,8","14,9",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,Special,M­5,S,H,F,"7,7","9,6","11,6","13,9",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,City,M­5,S,H,F,"7,7","9,6","11,6","13,9",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,Trendline,M­5,S,H,F,"7,7","9,6","11,6","13,9",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,Comfortline,M­5,S,H,F,"7,7","9,6","11,6","13,9",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,Patrulheiro,M­5,S,H,F,"7,3","9,4","10,7","13,7",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,City,M­5,S,H,F,"7,3","9,4","10,7","13,7",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,Trendline,M­5,S,H,F,"7,3","9,4","10,7","13,7",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,Comfortline,M­5,S,H,F,"7,3","9,4","10,7","13,7",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,Highline,M­5,S,H,F,"7,3","9,4","10,7","13,7",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,"Comfortline I­
Motion",MTA­5,S,H,F,"7,3","9,5","10,7","13,6",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­8V,"Highline I­
Motion",MTA­5,S,H,F,"7,3","9,5","10,7","13,6",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­16V,Rallye,M­5,S,H,F,"7,7",8,"11,1","11,3",2015
COMPACTO,VOLKSWAGEN,Gol,1.6­16V,"Rallye I­
Motion",MTA­5,S,H,F,"7,3",8,"10,5","11,2",2015
COMPACTO,VOLKSWAGEN,Gol,1.0­8V,Rock in Rio,M­5,S,H,F,"7,7","9,6","11,6","13,9",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.0­12V,BlueMotion,M­5,S,E,F,"8,8","9,9","12,7","14,4",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.0­12V,Comfortline,M­5,S,E,F,"8,6","9,3","12,2","13,4",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­8V,Trendline,M­5,S,E,F,"7,4","8,2","10,4","11,8",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­8V,Comfortline,M­5,S,E,F,"7,4","8,2","10,4","11,8",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­8V,"Trendline I­
Motion",MTA­5,S,E,F,"7,3","8,2","10,3","11,7",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­8V,"Comfortline I­
Motion",MTA­5,S,E,F,"7,3","8,2","10,3","11,7",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­16V,Highline,M­6,S,E,F,"7,6","8,4","10,8",12,2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.6­16V,Pepper,M­6,S,E,F,"7,6","8,4","10,8",12,2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.0­12V,Trendline,M­5,S,E,F,"8,6","9,3","12,2","13,4",2015
COMPACTO,VOLKSWAGEN,Novo Fox,1.0­12V,Track,M­5,S,E,F,"8,6","9,3","12,2","13,4",2015
MÉDIO,AUDI,A1,1.4­16V,"Sportback
Attraction",DCT­7,S,E­H,G,\,\,"10,8",14,2015
MÉDIO,AUDI,A1,1.4­16V,Ambition,DCT­7,S,E­H,G,\,\,"10,8",14,2015
MÉDIO,AUDI,A1,1.4­16V,"Sportback
Attraction
(Modelo 2016)",DCT­7,S,E,G,\,\,"12,6","15,2",2015
MÉDIO,AUDI,A1,1.8­16V,"Sportback
Ambition
(Modelo 2016)",DCT­7,S,E,G,\,\,"10,7","13,2",2015
MÉDIO,AUDI,A3,1.4­16V,"Sportback
Attraction",DCT­7,S,E­H,G,\,\,10,"11,5",2015
MÉDIO,AUDI,A3,1.8­16V,"Sportback
Ambition",DCT­7,S,E­H,G,\,\,"10,7",14,2015
MÉDIO,BMW,225i,2.0­16v,CAT,A­8,S,E­H,G,\,\,"8,8","12,2",2015
MÉDIO,BMW,118i,2.0­16v,­,A­8,S,E­H,G,\,\,"10,1","13,1",2015
MÉDIO,BMW,M135i,3.0­24V,­,A­8,S,E­H,G,\,\,"7,5","10,3",2015
MÉDIO,BMW,125I,2.0­16V,Active Flex,A­8,S,E­H,F,6,"8,3","8,6","11,8",2015
MÉDIO,BMW,120i,2.0­16V,Active Flex,A­8,S,E­H,F,"6,5","9,3","9,2","13,3",2015
MÉDIO,CHERY,Celer HB,1.5­16V,"1,5Flex HB",M­5,S,H,F,"6,3","8,3","9,2","12,1",2015
MÉDIO,CHERY,Celer SD,1.5­16V,"1,5 Flex",M­5,S,H,F,"6,3","8,3","9,2","12,1",2015
MÉDIO,CHERY,Tiggo FL 2.0 MT,2.0­16V,"FL 2,0 MT",M­5,S,H,G,\,\,"7,9","9,8",2015
MÉDIO,CITROEN,DS4,1.6­16V,So Chic THP,A­6,S,E­H,G,\,\,"8,7","11,5",2015
