"Ano:2015 Modelo: Todos Data: 24/11/2015
Categoria: Todas Motor: Todos Última Atualização: 24/11/2015
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano 2015
36 Marcas
Valor de CO2 da
692 Modelos/Versões emissão no
Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
escapamento referente
164 Modelo(s) com Selo CONPET simular condições mais comuns de utilização. O consumo percebido pelo motorista poderá
ao combustível de
variar para mais ou para menos, dependendo das condições de uso. Para saber por que,
origem fóssil não
consulte: www.inmetro.gov.br e www.conpet.gov.br
renovável",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
Categoria,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",1,2015,
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,Gasolina,,,,,,1,2015,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,Gasolina,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,1,2015,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)",,,,,,,,,1,2015,
"SUB
COMPACTO",CHERY,QQ 1.0,1.0­12V,"1,0",M­5,S,H,G,"0,014","0,132","0,105",ND,\,105,\,\,"11,8","13,9","1,71",C,B,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult,M­5,S,E,F,"0,013","0,479","0,019",***,0,115,"7,6","8,7","11,0","12,7","1,86",D,B,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult Dualogic,MTA­5,S,E,F,"0,013","0,331","0,034",***,0,113,"7,7","8,7","11,2","12,8","1,84",D,B,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­8V,Cult Cabrio,M­5,S,E,F,"0,013","0,479","0,019",***,0,118,"7,6","8,2","10,9","11,9","1,92",D,B,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­8V,"Cult Cabrio
Dualogic",MTA­5,S,E,F,"0,013","0,331","0,034",***,0,117,"7,6","8,2","11,0","12,0","1,90",D,B,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­16V,"Cabrio
Automático",A­6,S,E,F,"0,029","0,329","0,027",***,0,124,"6,9","8,3","10,0","12,1","2,03",E,C,­,1,2015,
"SUB
COMPACTO",FIAT,500,1.4­16V,Abarth,M­5,S,E,G,"0,011","0,511","0,009",***,\,133,\,\,"9,5","10,9","2,17",E,C,­,1,2015,
"SUB
COMPACTO",FIAT,Uno,1.0­8V,Vivace,M­5,N,M,F,"0,015","0,462","0,019",***,0,102,"8,2","10,4","11,8","15,0","1,66",B,A,SIM,1,2015,
,,,,,,,,,,,,,,,,,,,,,,,1,2015,
SUB,,,,,,,,,,,,,,,,,,,,,,,1,2015,
Página 1 / 32,,,,,,,,,,,,,,,,,,,,,,,1,2015,
,,,,,,,,,,,,,,,,,,,,,,,2,2015,
