categoria,marca,modelo,motor,versao,trasmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano,
"MICRO
COMPACTO",CHERY,New QQ,1.0­12V,"QQ 1,0",M­5,S,H,G,\,\,"12,3","13,8",2016,
"MICRO
COMPACTO",CHERY,New QQ,1.0­12V,"QQ 1,0 Act",M­5,S,H,G,\,\,"12,3","13,8",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Look,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Look Plus,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Smile,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Smile Plus,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Act,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",CHERY,New QQ (2017),1.0­12V,Act Plus,M­5,S,H,G,\,\,"11,9","13,1",2016,
"MICRO
COMPACTO",FIAT,500,1.4­16V,Abarth,M­5,S,E,G,\,\,"10,5","12,2",2016,
"MICRO
COMPACTO",FIAT,500,1.4­16V,"Cabrio
Automático",A­6,S,E,F,"6,9","8,2",10,"12,3",2016,
MICRO,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
Página 1 / 44,,,,,,,,,,,,,2016,
,,,,,,,,,,,,,2016,
,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Quilometragem por Litro(?),,,,2016,Categoria
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Etanol,,"Gasolina /
Diesel",,2016,
,,,,,,,,,"Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",2016,
,,,,,,,,,,,,,2016,
,FIAT,500,1.4­8V,Cult,M­5,S,E,F,"7,6","8,7",11,"12,7",2016,"MICRO
COMPACTO"
,FIAT,500,1.4­8V,Cult Cabrio,M­5,S,E,F,"7,4","8,2","10,4","11,9",2016,"MICRO
COMPACTO"
,FIAT,500,1.4­8V,"Cult Cabrio
Dualogic",MTA­5,S,E,F,"7,6","8,2",11,12,2016,"MICRO
COMPACTO"
,FIAT,500,1.4­8V,Cult Dualogic,MTA­5,S,E,F,"7,7","8,7","11,2","12,8",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Way,M­5,S,H,F,"8,4","9,2","11,9","13,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Way On,M­5,S,H,F,"8,4","9,2","11,9","13,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Easy,M­5,N,M,F,"8,7","10,1","12,7","14,7",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Easy On,M­5,S,H,F,"8,4","9,2","11,9","13,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Like,M­5,S,H,F,"8,4","9,2","11,9","13,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi,1.0­8V,Like On,M­5,S,H,F,"8,4","9,2","11,9","13,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Easy,M­5,N,M,F,"9,2","10,2","13,5","15,2",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Easy On,M­5,S,H,F,"8,8","9,9","12,7","14,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Like,M­5,S,H,F,"8,8","9,9","12,7","14,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Like On,M­5,S,H,F,"8,8","9,9","12,7","14,3",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Way,M­5,S,H,F,"8,9","9,7","12,6","14,2",2016,"MICRO
COMPACTO"
,FIAT,Mobi (2017),1.0­8V,Way On,M­5,S,H,F,"8,9","9,7","12,6","14,2",2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,A­4,S,E,F,8,"8,9","10,6","12,1",2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,LX4,A­4,S,E,F,8,"8,9","10,6","12,1",2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,EX4,M­5,S,E,F,"8,2",10,"11,7","14,3",2016,"MICRO
COMPACTO"
,KIA,Picanto,1.0­12V,LX4,M­5,S,E,F,"8,2",10,"11,7","14,3",2016,"MICRO
COMPACTO"
