categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,M,F,"9,7","10,7","13,7","15,3",
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,F,"8,9",10,13,"14,1",
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,M-5,S,H,F,"8,9",10,13,"14,1",
Sub Compacto,FIAT,UNO,DRIVE,1.0-6V,M-5,S,E,F,"9,1","10,6","13,2","15,2",
Sub Compacto,FIAT,UNO,WAY E,1.0-6V,M-5,S,E,F,"9,1","10,6","13,2","15,2",
Sub Compacto,FIAT,UNO,ATTRACTIVE,1.0-8V,M-5,S,H,F,8,"9,4","11,6","13,4",
Sub Compacto,Jac,IEV 20,-,Elétrico,A,S,E,E,\,\,"36,5","33,3",
Sub Compacto,VW,FOX,CONNECT (MY22),1.6-8V,M-5,S,E,F,"7,8","9,7","11,6","13,9",
Sub Compacto,VW,UP! TSI,XTREME 170TSI,1.0-12V,M-5,S,E,F,"9,5","10,4","13,7","14,7",
Compacto,CHEVROLET,ONIX JOY,JOY,1.0L - 8V,M-6,S,E,F,"8,8","10,3","12,8","14,7",
Compacto,CHEVROLET,ONIX JOY,JOY BLACK,1.0L - 8V,M-6,S,E,F,"8,8","10,3","12,8","14,7",
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"9,8","10,7","13,9","15,1",
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"9,4","10,5","13,5",15,
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,F,"9,8","10,7","13,9","15,1",
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,F,"9,4","10,5","13,5",15,
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,F,"8,8","10,4","12,8","14,7",
Compacto,FIAT,ARGO,HGT,1.8-16V,A-6,S,E,F,"6,9","9,2","9,7","12,8",
Compacto,FIAT,ARGO,PRECISION,1.8-16V,A-6,S,E,F,"6,9","9,2","9,7","12,8",
Compacto,FORD,Ka Hatch,S,1.0 - 12V,M-5,S,E,F,"9,3","10,8","13,3","15,6",
Compacto,FORD,Ka Hatch,SE,1.0 - 12V,M-5,S,E,F,"9,3","10,8","13,3","15,6",
Compacto,FORD,Ka Hatch,SE Plus,1.0 - 12V,M-5,S,E,F,"9,3","10,8","13,3","15,6",
Compacto,FORD,Ka Hatch,FreeStyle,1.0 - 12V,M-5,S,E,F,"9,1","10,4",13,"15,1",
Compacto,FORD,Ka Hatch,SE,1.5 - 12V,M-5,S,E,F,"8,8","10,5","12,4","14,8",
Compacto,FORD,Ka Hatch,SE Plus,1.5 - 12V,M-5,S,E,F,"8,8","10,5","12,4","14,8",
Compacto,FORD,Ka Hatch,SE,1.5 - 12V,A-6,S,E,F,"8,4","9,9","11,7","14,5",
Compacto,FORD,Ka Hatch,SE Plus,1.5 - 12V,A-6,S,E,F,"8,4","9,9","11,7","14,5",
Compacto,FORD,Ka Hatch,Titanium,1.5 - 12V,A-6,S,E,F,"8,4","9,9","11,7","14,5",
