categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,Elétrico,A,S,E,E,\,\,"48,8","36,8",2022
Sub Compacto,FIAT,500E,ICON,Elétrico,A-1,S,E,E,\,\,"47,3","40,4",2022
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,M,F,"9,8",11,"14,2","15,5",2022
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,M-5,S,H,F,"9,6","10,4","13,5",15,2022
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,F,"9,6","10,4","13,5",15,2022
Sub Compacto,Jac,e-JS1,e-JS1,Elétrico,A,S,E,E,\,\,"40,9","30,3",2022
Sub Compacto,Jac,e-JS1,e-JS1 EXT,Elétrico,A,S,E,E,\,\,"40,9","30,3",2022
Sub Compacto,Jac,IEV 20,iEV20,Elétrico,A,S,E,E,\,\,"36,5","33,3",2022
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,A,S,E,E,\,\,"52,7","39,6",2022
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"9,6","10,6","13,6","15,1",2022
Compacto,FIAT,ARGO,DRIVE,1.0-6V,M-5,S,E,F,"9,8",11,"14,1","15,8",2022
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,F,"9,1","10,5","13,1",15,2022
Compacto,Hyundai,HB20,Sense,1.0-12V,M-5,S,E,F,"9,8","10,7","13,1",15,2022
Compacto,Hyundai,HB20,Vision,1.0-12V,M-5,S,E,F,"9,8","10,7","13,1",15,2022
Compacto,Hyundai,HB20,Evolution,1.0-12V,M-5,S,E,F,"9,8","10,7","13,1",15,2022
Compacto,Hyundai,HB20,Sport,1.0-12V T,A-6,S,E,F,"8,6","10,2","12,2","14,4",2022
Compacto,Hyundai,HB20,Vision,1.0-12V T,A-6,S,E,F,"8,6","10,2","12,2","14,3",2022
Compacto,Hyundai,HB20,Platinum,1.0-12V T,A-6,S,E,F,"8,6","10,2","12,2","14,3",2022
Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,A-6,S,E,F,"8,6","10,2","12,2","14,3",2022
Compacto,Hyundai,HB20,Platinum,1.0-12V T,M-6,S,E,F,"9,5","10,9","13,7","15,5",2022
Compacto,MINI,Cooper,S Electric,Elétrico,A,S,E,E,\,\,"38,5","31,8",2022
Compacto,MINI,Cooper,S 5P,2.0 - 16V,DCT-7,S,E-H,G,\,\,"10,3","13,2",2022
Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,A-8,S,E-H,G,\,\,"10,3","13,9",2022
Compacto,MINI,Cooper,S 3P,2.0 - 16V,DCT-7,S,E-H,G,\,\,"10,3","13,4",2022
Compacto,PEUGEOT,E-208,GT,Elétrico,A-1,S,E,E,\,\,"37,8","30,8",2022
Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,A-6,S,E,F,"7,7","9,1","11,1","12,9",2022
Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,A-6,S,E,F,"7,7","9,1","11,1","12,9",2022
Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,A-6,S,E,F,"7,7","9,1","11,1","12,9",2022
Compacto,PEUGEOT,208,LIKE MT,1.0-6V,MT-5,S,E,F,"10,4","11,3","14,7","16,3",2022
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,MT-5,S,E,F,"9,6",11,"13,6","15,5",2022
Compacto,Renault,Sandero,SEDTION BS,1.0-12V,M-5,S,E-H,F,10,"10,2","13,9","14,7",2022
Compacto,Renault,Sandero,SEDITION,1.0-12V,M-5,S,E-H,F,10,"10,2","13,9","14,7",2022
Compacto,Renault,Sandero,LIFE10MT,1.0-12V,M-5,S,E-H,F,10,"10,2","13,9","14,7",2022
Compacto,Renault,Sandero,RLIN,1.0-12V,M-5,S,E-H,F,10,"10,2","13,9","14,7",2022
Compacto,Renault,Sandero,ZEN10MT,1.0-12V,M-5,S,E-H,F,10,"10,2","13,9","14,7",2022
Compacto,VW,GOL,MPI,1.0-12V,M - 5,S,H,F,"9,4","10,7","13,7","15,2",2022
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,4",2022
Médio,AUDI,A3 Sportback,Performance Black (ed.0),2.0 - 16V,A-7,S,E,G,\,\,"10,2","12,4",2022
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,A-7,S,E,G,\,\,10,"11,9",2022
Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,A-7,S,E,G,\,\,10,"11,9",2022
Médio,BMW,118i,-,1.5 - 12V,DCT-7,S,E-H,G,\,\,"11,5",13,2022
Médio,BMW,i3,120Ah BEV,Elétrico,A,S,E,E,\,\,"47,7","39,4",2022
Médio,CHEVROLET,BOLT,LT,Elétrico,A,S,E,E,\,\,"45,3","36,3",2022
Médio,CHEVROLET,BOLT,PREMIER,Elétrico,A,S,E,E,\,\,"45,3","36,3",2022
Médio,CHEVROLET,ONIX,10MT HB MY 22/22,1.0 - 12 V,M-6,S,E,F,"9,5",12,"13,8","16,6",2022
Médio,CHEVROLET,ONIX,10MT LT1 MY 22/22,1.0 - 12 V,M-6,S,E,F,"9,5",12,"13,8","16,6",2022
Médio,CHEVROLET,ONIX,10MT LT2 22/22,1.0 - 12 V,M-6,S,E,F,"9,5",12,"13,8","16,6",2022
Médio,CHEVROLET,ONIX,10MT HB MY 22/23,1.0 - 12 V,M-7,S,E,F,"9,4","11,6","13,3","16,6",2022
Médio,CHEVROLET,ONIX,10MT LT1 MY 22/23,1.0 - 12 V,M-8,S,E,F,"9,4","11,6","13,3","16,6",2022
Médio,CHEVROLET,ONIX,10MT LT2 MY 22/23,1.0 - 12 V,M-9,S,E,F,"9,4","11,6","13,3","16,6",2022
Médio,CHEVROLET,ONIX,10TAT HB,1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2022
Médio,CHEVROLET,ONIX,10TAT LT1,1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2022
Médio,CHEVROLET,ONIX,10TAT LTZ,1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2022
Médio,CHEVROLET,ONIX,10TAT PR2,1.0T - 12 V,A-6,S,E,F,"8,4","10,4","11,9","15,1",2022
Médio,CHEVROLET,ONIX,10TAT RS,1.0T - 12 V,A-6,S,E,F,"8,2","9,8","11,8",14,2022
Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,M-6,S,E,F,"9,1","11,1","13,1","16,1",2022
Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,M-6,S,E,F,"9,1","11,1","13,1","16,1",2022
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/22,1.0 - 12 V,M-6,S,E,F,"9,6","12,5","13,8","17,6",2022
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/22,1.0 - 12 V,M-6,S,E,F,"9,6","12,5","13,8","17,6",2022
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/23,1.0 - 12 V,M-6,S,E,F,"9,5","12,4","13,6","17,5",2022
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/23,1.0 - 12 V,M-6,S,E,F,"9,5","12,4","13,6","17,5",2022
Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2022
Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2022
Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2022
Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,A-6,S,E,F,"8,4","12,2","12,3","16,8",2022
Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,M-6,S,E,F,"9,3","11,8","13,4","16,9",2022
Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,M-6,S,E,F,"9,3","11,8","13,4","16,9",2022
Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,A-6,S,E,F,"7,2","8,9","10,5","12,9",2022
Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,A-6,S,E,F,"7,2","8,9","10,5","12,9",2022
