Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
Elétrico","Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,None_5,Quilometragem por Litro,None_6,None_7,None_8,None_9,None_10,"Consumo
Energético
(MJ/km)","Autonomia
no modo
Elétrico
(km)","Classificação
PBE",None_11,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano,,_1,Comercial,BYD,ET3,---,Elétrico,Elétrico_1,N.A.,S,E,E_1,0,0_1,0_2,A,\,0_3,\_1,\_2,\_3,\_4,\_5,30.7,26.3,0.71,170,A_1,A_2,-,"Transmissão
Velocidades(nº)"
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada
(MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-hidráulica
(E-H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico (km/le)
quando VE ou VEHP",,,,,,,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"fóC sO s2il
(g/km)","fóC sO s2il
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa
na Categoria","Comparação
Absoluta
Geral",,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,BYD,DOLPHIN MINI,GS EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,58.6,41.9,0.41,280,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,Elétrico,Elétrico,A-,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,50.8,38.6,0.46,198,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,FIAT,500E,ICON,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,47.3,40.4,0.46,227,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,Combustão,M-5,S,H,F,46,225,4,B,0,93,\,9.6,10.4,13.5,15.0,\,\,1.50,\,E,B,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,FIAT,MOBI,TREKKING 1.0MT,1.0-8V,Combustão,M-5,S,H,F,46,225,4,B,0,93,\,9.6,10.4,13.5,15.0,\,\,1.50,\,E,B,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,JAC,e-JS1,e-JS1,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,,,46.6,35.0,0.50,181,B,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,JAC,e-JS1,e-JS1 EXT,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,-,\,\,\,,,46.6,35.0,0.50,181,B,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,0,\,\,\,\,\,52.7,39.6,0.44,185,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,FIAT,ARGO,1.0,1.0-6V,Combustão,M-5,S,E,F,47,363,2,B,0,95,\,9.4,10.2,13.3,14.7,\,\,1.53,\,A,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,FIAT,ARGO,DRIVE 1.0,1.0-6V,Combustão,M-5,S,E,F,47,363,2,B,0,95,\,9.4,10.2,13.3,14.7,\,\,1.53,\,A,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,FIAT,ARGO,DRIVE 1.0 / 1.0,1.0-6V,Combustão,M-5,S,E,F,34,376,2,B,0,92,\,9.4,10.6,13.6,15.1,\,\,1.50,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,FIAT,ARGO,DRIVE 1.3 AT,1.3-8V,Combustão,CVT-7,S,E,F,41,312,3,B,0,100,\,9.1,10.1,12.6,13.9,\,\,1.60,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,FIAT,ARGO,DRIVE 1.3 AT (MY 25),1.3-8V,Combustão,CVT-7,S,E,F,32,287,2,B,0,99,\,8.8,10.4,12.6,14.4,\,\,1.59,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,S,E,F,25,266,2,A,0,94,\,9.6,10.4,13.5,14.6,\,\,1.51,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort,1.0-12V,Combustão,M-5,S,E,F,25,266,2,A,0,94,\,9.6,10.4,13.5,14.6,\,\,1.51,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Limited,1.0-12V,Combustão,M-5,S,E,F,25,266,2,A,0,94,\,9.6,10.4,13.5,14.6,\,\,1.51,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum,1.0-12V,Combustão,M-5,S,E,F,25,266,2,A,0,94,\,9.6,10.4,13.5,14.6,\,\,1.51,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,M-6,S,E,F,26,137,2,A,0,95,\,9.4,10.6,13.4,14.5,\,\,1.52,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,A-6,S,E,F,29,138,3,A,0,105,\,8.3,9.9,11.8,14.0,\,\,1.69,\,C,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,S,E,F,29,138,3,A,0,105,\,8.3,9.9,11.8,14.0,\,\,1.69,\,C,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Sense,1.0-12V T,Combustão,A-6,S,E,F,29,138,3,A,0,105,\,8.3,9.9,11.8,14.0,\,\,1.69,\,C,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum Smart Sense,1.0-12V T,Combustão,A-6,S,E,F,29,138,3,A,0,105,\,8.3,9.9,11.8,14.0,\,\,1.69,\,C,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,F,35,107,3,A,0,100,\,9.0,10.2,12.6,14.1,\,\,1.59,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum Safety,1.0-12V T,Combustão,A-6,S,E,F,29,138,3,A,0,105,\,8.3,9.9,11.8,14.0,\,\,1.69,\,C,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Platinum Safety,1.0-12V T,Combustão,A-6,S,E,F,35,107,3,A,0,100,\,9.0,10.2,12.6,14.1,\,\,1.59,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort (25MY),1.0-12V T,Combustão,A-6,S,E,F,27,117,3,A,0,100,\,8.5,10.4,12.3,14.8,\,\,1.61,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Sense (25MY),1.0-12V,Combustão,M-5,S,E,F,19,128,1,A,0,93,\,10.0,10.4,13.6,14.8,\,\,1.49,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort (25MY),1.0-12V,Combustão,M-5,S,E,F,19,128,1,A,0,93,\,10.0,10.4,13.6,14.8,\,\,1.49,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Limited (25MY),1.0-12V,Combustão,M-5,S,E,F,19,128,1,A,0,93,\,10.0,10.4,13.6,14.8,\,\,1.49,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort (25MY),1.0-12V T,Combustão,A-6,S,E,F,33,101,3,A,0,96,\,9.1,10.5,13.1,14.8,\,\,1.54,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,Hyundai,HB20,Comfort / Platinum Safety (25MY),1.0-12V T,Combustão,A-6,S,E,F,33,101,3,A,0,96,\,9.1,10.5,13.1,14.8,\,\,1.54,\,B,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S Electric,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,\,\,\,\,\,\,38.5,31.8,0.58,161,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,S,E,G,9,65,0,A,\,119,\,\,\,10.2,13.0,\,\,1.93,\,E,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,S,E,G,4,76,1,A,\,123,\,\,\,9.9,12.8,\,\,1.99,\,E,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,JCW,3P,2.0 - 16V,Combustão,DCT-7,S,E,G,5,84,0,A,\,112,\,\,\,10.8,13.9,\,\,1.81,\,D,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S 3P EXCLUSIVE,2.0 - 16V,Combustão,DCT-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S 3P SPORT,2.0 - 16V,Combustão,DCT-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S 3P TOP,2.0 - 16V,Combustão,DCT-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,E,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,48.1,38.5,0.47,246,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,SE,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,45.2,37.3,0.49,303,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,S,E,G,5,101,1,A,\,118,\,\,\,10.3,13.2,\,\,1.91,\,E,C,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,NETA,AYA,COMFORT 4S,ELÉTRICO,ELÉTRICO,A,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,52.9,42.7,0.43,263,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,NETA,AYA,LUXURY 4S,ELÉTRICO,ELÉTRICO,A,S,E,E,ND,ND,ND,A,\,-,\,\,\,\,\,52.9,42.7,0.43,263,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,PEUGEOT,E-208,GT,Elétrico,Elétrico,A-1,S,E,E,0,0,0,A,\,\,\,\,\,\,\,37.8,30.8,0.59,220,A,A,-,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,M-5,S,E,F,29,300,1,B,0,92,\,9.6,11.1,13.3,15.8,\,\,1.47,\,A,B,SIM,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
