Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão
Combustão
Híbrido
Plug-in
Elétrico","Transmissão
Velocidades (nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,None_5,Quilometragem por Litro,None_6,None_7,None_8,None_9,None_10,"Consumo
Energético
(MJ/km)","Autonomia no
modo Elétrico
(km)","Classificação
PBE",None_11,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano,"Transmissão
Velocidades
(nº)",,_1
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada (MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,1,2025,,,
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Classificação
EMISSÕES
Nota Verde",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico (km/le)
quando VE ou VEHP",,,,,,,1,2025,,,
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa
na Categoria","Comparação
Absoluta
Geral",,1,2025,,,
Sub Compacto,BYD,DOLPHIN MINI,GS EV,Elétrico,Elétrico,N.A.,S,E,E,0,0,0,A,\,0,\,\,\,\,\,58.6,41.9,0.41,280,A,A,-,1,2025,,,
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,Elétrico,Elétrico,A-,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,50.8,38.6,0.46,198,C,A,-,1,2025,,,
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,47.3,40.4,0.46,227,C,A,-,1,2025,,,
Sub Compacto,FIAT,MOBI,TREKKING,1.0-6V,Combustão,M-5,S,E,F,38,281,3,B,0,91,\,9.8,10.6,14.0,15.1,\,\,1.46,\,E,B,-,1,2025,,,
Sub Compacto,FIAT,MOBI,LIKE,1.0-6V,Combustão,M-5,S,E,F,38,281,3,B,0,91,\,9.8,10.6,14.0,15.1,\,\,1.46,\,E,B,-,1,2025,,,
Sub Compacto,JAC,e-JS1,e-JS1,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,46.6,35.0,0.50,181,E,A,-,1,2025,,,
Sub Compacto,JAC,e-JS1,e-JS1 EXT,Elétrico,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,46.6,35.0,0.50,181,E,A,-,1,2025,,,
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,0,\,\,\,\,\,52.7,39.6,0.44,185,A,A,-,1,2025,,,
Compacto,FIAT,ARGO,1.0,1.0-6V,Combustão,M-5,S,E,F,32,390,3,B,0,94,\,9.4,10.4,13.6,14.5,\,\,1.52,\,A,B,SIM,1,2025,,,
Compacto,FIAT,ARGO,DRIVE 1.0,1.0-6V,Combustão,M-5,S,E,F,32,390,3,B,0,94,\,9.4,10.4,13.6,14.5,\,\,1.52,\,A,B,SIM,1,2025,,,
Compacto,FIAT,ARGO,DRIVE 1.3 AT,1.3-8V,Combustão,CVT-7,S,E,F,37,297,4,B,0,99,\,9.0,10.3,12.8,14.3,\,\,1.58,\,B,C,-,1,2025,,,
Compacto,Hyundai,HB20,Sense,1.0-12V T,Combustão,M-5,S,E,F,23,257,2,A,0,93,\,9.9,10.7,13.3,15.4,\,\,1.48,\,A,B,SIM,1,2025,,,
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,M-5,S,E,F,23,257,2,A,0,93,\,9.9,10.7,13.3,15.4,\,\,1.48,\,A,B,SIM,1,2025,,,
Compacto,Hyundai,HB20,Limited,1.0-12V T,Combustão,M-5,S,E,F,23,257,2,A,0,93,\,9.9,10.7,13.3,15.4,\,\,1.48,\,A,B,SIM,1,2025,,,
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,M-5,S,E,F,23,257,2,A,0,93,\,9.9,10.7,13.3,15.4,\,\,1.48,\,A,B,SIM,1,2025,,,
Compacto,Hyundai,HB20,SE,1.0-12V T,Combustão,M-5,S,E,F,23,257,2,A,0,93,\,9.9,10.7,13.3,15.4,\,\,1.48,\,A,B,SIM,1,2025,,,
Compacto,Hyundai,HB20,Comfort,1.0-12V T,Combustão,A-6,S,E,F,24,76,2,A,0,95,\,9.2,10.2,13.2,14.7,\,\,1.54,\,B,C,-,1,2025,,,
Compacto,Hyundai,HB20,Platinum Safety,1.0-12V T,Combustão,A-6,S,E,F,24,76,2,A,0,95,\,9.2,10.2,13.2,14.7,\,\,1.54,\,B,C,-,1,2025,,,
Compacto,Hyundai,HB20,SE,1.0-12V T,Combustão,A-6,S,E,F,24,76,2,A,0,95,\,9.2,10.2,13.2,14.7,\,\,1.54,\,B,C,-,1,2025,,,
Compacto,MINI,Cooper,S 3P EXCLUSIVE,2.0 - 16V,Combustão,A-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2025,,,
Compacto,MINI,Cooper,S 3P SPORT,2.0 - 16V,Combustão,A-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2025,,,
Compacto,MINI,Cooper,S 3P TOP,2.0 - 16V,Combustão,A-7,S,E,G,10,156,0,A,\,107,\,\,\,11.5,14.0,\,\,1.74,\,D,C,-,1,2025,,,
Compacto,MINI,Cooper,E,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,48.1,38.5,0.47,246,A,A,-,1,2025,,,
Compacto,MINI,Cooper,SE,Elétrico,Elétrico,A,S,E,E,0,0,0,A,\,0,0,\,\,\,\,45.2,37.3,0.49,303,A,A,-,1,2025,,,
Compacto,MINI,JCW,3P,2.0 - 16V,Combustão,A-7,S,E,G,5,84,0,A,\,112,\,\,\,10.8,13.9,\,\,1.81,\,D,C,-,1,2025,,,
Compacto,NETA,AYA,COMFORT 4S,ELÉTRICO,ELÉTRICO,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,52.9,42.7,0.43,263,A,A,-,1,2025,,,
