node_id,latitude,longitude,rua,bairro,cep
527277024,-15.2072415,-41.0855782,Rodovia Santos Dumont,,
1913589043,-15.2625936,-41.1193476,Rodovia Santos Dumont,,
2152555375,-15.2022066,-41.0819033,BA-639,,
2152555520,-15.2610051,-40.9653112,Estrada para Conquista,,
2152555527,-15.2698731,-40.9539923,Estrada para Bica,,
2152555532,-15.2714881,-40.9529595,Travessa Orlando Leite,,
2152555535,-15.2754111,-40.9501462,Rua Durval Santos,,
2152555547,-15.2871457,-40.9483019,Estrada para Encruzilhada,,
2152555550,-15.2885438,-40.9480679,Estrada para Encruzilhada,,
2451472782,-15.2126426,-41.0888529,Rodovia Santos Dumont,,
2451474369,-15.0827155,-41.0094644,BA-839,,
2488597644,-15.1156546,-41.0305698,BA-263,,
2546368555,-15.1036914,-41.0805884,BA-263,,
2546368563,-15.1098896,-41.0805493,Rua Rivadavia Ferraz,,
2546368573,-15.1086284,-41.0850353,Rua Rivadavia Ferraz,,
2546368583,-15.1098896,-41.0808081,Rua Rivadavia Ferraz,,
2546368589,-15.1098513,-41.078188,Rua Rivadavia Ferraz,,
2558012258,-15.2697807,-40.9543198,Rua Durval Santos,,
2558012260,-15.2693358,-40.9546983,Rua Durval Santos,,
2558012266,-15.2715766,-40.9531162,Rua Durval Santos,,
2558012270,-15.2695216,-40.9497333,Rua B,,
2558012272,-15.2740972,-40.9514344,Rua Durval Santos,,
2558012273,-15.2755728,-40.9536435,Rua do Vale,,
2558012274,-15.2726294,-40.9524077,Rua Durval Santos,,
2558012275,-15.2739021,-40.954115,Travessa João Primo,,
2558012276,-15.2752927,-40.9503427,Rua Durval Santos,,
2558012277,-15.2757132,-40.9511799,Travessa do Cruzeiro,,
2558012279,-15.2763699,-40.9524325,Avenida Flavio Santos,,
2558012283,-15.2752648,-40.9531823,Avenida Flavio Santos,,
2558012284,-15.272847,-40.9548435,Travessa Orlando Leite,,
2558012289,-15.2760529,-40.9518366,Travessa do Cruzeiro,,
2558012290,-15.2754835,-40.9492541,Rua Plínio Flores,,
2558012292,-15.2712314,-40.9525882,Rua Plínio Flores,,
2558013592,-15.2016917,-41.0820343,BA-639,,
2558013595,-15.2012186,-41.0818844,Rodovia Santos Dumont,,
2558013603,-15.2019305,-41.0823342,Rodovia Santos Dumont,,
2558013604,-15.2019558,-41.0821745,BA-639,,
2558013606,-15.2022793,-41.0825585,Rodovia Santos Dumont,,
2568613902,-15.107895,-41.0820788,Rua Orli Flores,,
2568613905,-15.1085237,-41.0824752,Rua Orli Flores,,
2568613907,-15.1092481,-41.0827796,Rua Rivadavia Ferraz,,
2568613910,-15.108071,-41.0821767,Rua Orli Flores,,
2568613917,-15.1090915,-41.0834857,Rua Rivadavia Ferraz,,
2568613920,-15.107066,-41.0815259,Rua Orli Flores,,
2568613921,-15.1082304,-41.08143,Rua das Viúvas,,
2568613927,-15.1085221,-41.0852688,Rua Rivadavia Ferraz,,
2568613931,-15.108175,-41.085956,Rua Rivadavia Ferraz,,
2568613973,-15.1033193,-41.0840492,Rua 165,,
2568613985,-15.1037869,-41.0798483,BA-263,,
2568613991,-15.1037334,-41.080266,BA-263,,
2571894366,-15.2130095,-41.0890869,Rodovia Santos Dumont,,
2571894384,-15.211735,-41.0868054,Rua dos Araujos,,
2571894385,-15.2110529,-41.0862744,Rua dos Araujos,,
2571894387,-15.2100304,-41.0852834,Rua dos Araujos,,
2571894390,-15.2104153,-41.0857078,Rua dos Araujos,,
