Categoria,Marca,Modelo,Versão,Motor,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,Quilometragem por Litro,None_5,None_6,None_7,"Consumo
Energético
(MJ/km)","Classificação
PBE",None_8,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,1,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,1,2017
,,,,,,"Sim
(S)
Não
(N)",,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa
na
Categoria","Comparação
Absoluta
Geral",,1,2017
"Micro
Compacto",KIA,PICANTO,EX4/LX4 1.0 MT FF,1.0 - 12V,M-5,S,E,F,"0,044","0,138","0,005",B,0,104,"8,2","10,0","11,7","14,3","1,69",C,B,-,1,2017
"Micro
Compacto",KIA,PICANTO,EX4/ LX4 1.0 ATFF,1.0 - 12V,A-4,S,E,F,"0,012","0,363","0,009",A,0,109,"8,4","9,7","11,3","13,6","1,73",D,B,-,1,2017
"Micro
Compacto",CHERY,NEW QQ,"1.0 LOOK
1.0 LOOK PLUS
1.0 SMILE
1.0 SMILE PLUS
1.0 ACT
1.0 ACT PLUS",1.0-12V,M-5,S,H,G,"0,018","0,179","0,021",A,\,107,\,\,"11,9","13,1","1,73",D,B,-,1,2017
"Micro
Compacto",FIAT,500,Cult,1.4-8V,M-5,S,E,F,"0,007","0,316","0,024",A,0,111,"8,0","9,0","11,4","13,0","1,79",D,B,-,1,2017
"Micro
Compacto",FIAT,500,Cult Cabrio Dualogic,1.4-8V,MTA-5,S,E,F,"0,007","0,316","0,024",A,0,111,"7,9","8,8","11,4","12,9","1,81",D,B,-,1,2017
"Micro
Compacto",FIAT,500,Cult Dualogic,1.4-8V,MTA-5,S,E,F,"0,007","0,316","0,024",A,0,111,"7,9","8,8","11,4","12,9","1,81",D,B,-,1,2017
"Micro
Compacto",FIAT,500,Abarth,1.4-16V,M-5,S,E,G,"0,011","0,511","0,009",A,\,120,\,\,"10,5","12,2","1,94",E,C,-,1,2017
"Micro
Compacto",FIAT,Mobi,EASY,1.0 8V,M-5,N,H,F,"0,031","0,631","0,021",C,0,92,"9,2","10,2","13,5","15,2","1,52",A,B,SIM,1,2017
"Micro
Compacto",FIAT,Mobi,EASY ON,1.0 8V,M-5,S,H,F,"0,024","0,524","0,043",C,0,99,"8,8","9,9","12,7","14,3","1,61",B,B,-,1,2017
"Micro
Compacto",FIAT,Mobi,LIKE,1.0 8V,M-5,S,H,F,"0,024","0,524","0,043",C,0,99,"8,8","9,9","12,7","14,3","1,61",B,B,-,1,2017
"Micro
Compacto",FIAT,Mobi,LIKE ON,1.0 8V,M-5,S,H,F,"0,024","0,524","0,043",C,0,99,"8,8","9,9","12,7","14,3","1,61",B,B,-,1,2017
"Micro
Compacto",FIAT,Mobi,WAY,1.0 8V,M-5,S,H,F,"0,025","0,442","0,030",B,0,100,"8,9","9,7","12,6","14,2","1,62",B,B,-,1,2017
"Micro
Compacto",FIAT,Mobi,WAY ON,1.0 8V,M-5,S,H,F,"0,025","0,442","0,030",B,0,100,"8,9","9,7","12,6","14,2","1,62",B,B,-,1,2017
"Micro
Compacto",KIA,PICANTO,EX5/ LX5 1.0 FF MT,1.0 - 12V,M-5,S,E,F,"0,013","0,364","0,055",C,0,100,"7,9","10,3","11,6","15,0","1,69",C,B,-,1,2017
"Micro
Compacto",KIA,PICANTO,EX5/ LX5 1.0 FF AT,1.0 - 12V,A-4,S,E,F,"0,012","0,353","0,041",B,0,105,"8,1","9,9","11,4","14,7","1,70",C,B,-,1,2017
,,,,,"Manual
(M)
Automática
(A)
Automática Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)",,"Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro-
hidráulica
(E-H)","Etanol
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)","Poluentes
Redução
NMHC CO NOx Relativa
(g/km) (g/km) (g/km) ao
Limite",,,,Gás Efeito Estufa,,,,,,,,,,2,2017
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",Etanol,,"Gasolina
ou
Diesel
Cidade Estrada
(km/l) (km/l)",,,,,,2,2017
