categoria,marca,modelo,motor,versao,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
subcompacto,chery,qq 1.0,1.012v,"1,0",m5,sim,hidráulica,gasolina,0.0,0.0,11.8,13.9,2015
subcompacto,fiat,500,1.48v,cult,m5,sim,elétrica,flex,7.6,8.7,11.0,12.7,2015
subcompacto,fiat,500,1.48v,cult dualogic,mta5,sim,elétrica,flex,7.7,8.7,11.2,12.8,2015
subcompacto,fiat,500,1.48v,cult cabrio,m5,sim,elétrica,flex,7.6,8.2,10.9,11.9,2015
subcompacto,fiat,500,1.48v,cult cabriodualogic,mta5,sim,elétrica,flex,7.6,8.2,11.0,12.0,2015
subcompacto,fiat,500,1.416v,cabrioautomático,a6,sim,elétrica,flex,6.9,8.3,10.0,12.1,2015
subcompacto,fiat,500,1.416v,abarth,m5,sim,elétrica,gasolina,0.0,0.0,9.5,10.9,2015
subcompacto,fiat,uno,1.08v,vivace,m5,não,mecânica,flex,8.2,10.4,11.8,15.0,2015
subcompacto,fiat,novo uno,1.08v,attractive,m5,não,hidráulica,flex,8.4,10.3,12.0,14.8,2015
subcompacto,fiat,novo uno,1.08v,way,m5,sim,hidráulica,flex,8.0,9.1,11.5,13.0,2015
subcompacto,fiat,novo uno,1.48v,sporting,m5,sim,hidráulica,flex,7.8,8.6,11.2,12.5,2015
subcompacto,fiat,novo uno,1.48v,sporting,mta5,sim,hidráulica,flex,7.7,8.5,11.1,12.3,2015
subcompacto,fiat,novo uno,1.48v,evolution s&s,m5,não,hidráulica,flex,8.9,10.5,12.9,15.1,2015
subcompacto,fiat,palio,1.08v,fire,m5,não,mecânica,flex,8.8,10.3,12.3,15.0,2015
subcompacto,fiat,palio,1.08v,fire way,m5,não,mecânica,flex,8.2,10.0,11.9,14.6,2015
subcompacto,jac,j2,1.416v,*****,m5,sim,elétrica,gasolina,0.0,0.0,11.9,12.7,2015
subcompacto,jac,j2,1.416v,"1,4",m5,sim,elétrica,gasolina,0.0,0.0,11.9,12.7,2015
subcompacto,jac,j2,1.416v,"1,4 jetflex",m5,sim,elétrica,flex,8.4,8.7,12.0,12.5,2015
subcompacto,kia,picanto,1.012v,ex4,m5,sim,elétrica,flex,8.2,9.8,12.0,14.4,2015
subcompacto,kia,picanto,1.012v,"lx4 1,0 mt ff",m5,sim,elétrica,flex,8.2,9.8,12.0,14.4,2015
