"Ano:2020 Modelo: Todos Data: 12/03/2020
Categoria: Todas Motor: Todos Última Atualização: 11/03/2020
Marca: Todas
INSTITUTO NACIONAL DE METROLOGIA,
QUALIDADE E TECNOLOGIA
PROGRAMA BRASILEIRO DE ETIQUETAGEM ­ PBE
Tabelas de Consumo/Eficiência
Etiqueta Nacional de Conservação de Energia ­ ENCE
Energética
Veículos Automotores Leves
Categoria Todas
Modelos com classificação PBE para ENCE
Comparação entre modelos participantes
Ano 2020
36 Marcas
Valor de CO2 da
1034 Modelos/Versões emissão no
Valores em km/l medidos em condições padrão de laboratório (NBR7024) e ajustados para
escapamento referente
139 Modelo(s) com Selo CONPET simular condições mais comuns de utilização. Para veículos elétricos, km/l refere­se ao
ao combustível de
consumo equivalente a gasolina (km/l e). O consumo percebido pelo motorista poderá variar
origem fóssil não
para mais ou para menos, dependendo das condições de uso. Para saber por que, consulte:
renovável
www.inmetro.gov.br e www.conpet.gov.brw.inmetro.gov.br e www.conpet.gov.br",,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,Página,Ano,
Categoria,Marca(?),Modelo(?),Motor,Versão,"Transmissão
Velocidades
(nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,,,,,Quilometragem por Litro(?),,,,"Consumo
Energético
(MJ/km)",Classificação PBE,,"Selo
CONPET
de
Eficiência
Energética",1,2020,
,,,,,"Manual
(M)
Automática
(A)
Automática
Dupla
Embreagem
(DCT)
Automatizada
(MTA)
Contínua
(CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica
(E)
Eletro­
hidráulica
(E­H)","Elétrico
(E)
Gasolina
(G)
Flex
(F)
Diesel
(D)",Poluentes(?),,,,Gás Efeito Estufa(?),,Etanol,,"Gasolina /
Diesel",,,,,,1,2020,
,,,,,,,,,"NMHC
(g/km)","CO
(g/km)","NOx
(g/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina /
Diesel","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)",,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,1,2020,
,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2 fóssil
(g/km)",,,,,,,,,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Look,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Look Plus,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Smile,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Smile Plus,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,Act,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
"SUB
COMPACTO",CAOA CHERY,New QQ,1.0­12V,ACT Plus,M­5,S,H,F,"0,014","0,244","0,032",B,0,98,"8,9","9,9","12,9","14,4","1,59",D,B,­,1,2020,
