categoria,marca,modelo,versao,motor,transmissao,ar_cond,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,FIAT,500E,ICON,Elétrico,Elétrico,A-1,S,E,\,\,\,"47,3",1
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,Combustão,M-5,N,M,88,"9,8","11,0","14,2",1
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,Combustão,M-5,S,H,93,"9,6","10,4","13,5",1
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,Combustão,M-5,S,H,93,"9,6","10,4","13,5",1
Sub Compacto,Jac,e-JS1,e-JS1,Elétrico,Elétrico,A,S,E,0,\,\,"40,9",1
Sub Compacto,Jac,e-JS1,e-JS1 EXT,Elétrico,Elétrico,A,S,E,0,\,\,"40,9",1
Sub Compacto,Jac,IEV 20,iEV20,Elétrico,Elétrico,A,S,E,\,\,\,"36,5",1
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,S,E,\,\,\,"52,7",1
Compacto,FIAT,ARGO,1.0,1.0-6V,Combustão,M-5,S,E,92,"9,6","10,6","13,6",1
Compacto,FIAT,ARGO,DRIVE,1.0-6V,Combustão,M-5,S,E,88,"9,8","11,0","14,1",1
Compacto,FIAT,ARGO,DRIVE,1.3-8V,Combustão,M-5,S,E,95,"9,1","10,5","13,1",1
Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,S,E,95,"9,8","10,7","13,1",1
Compacto,Hyundai,HB20,Vision,1.0-12V,Combustão,M-5,S,E,95,"9,8","10,7","13,1",1
Compacto,Hyundai,HB20,Evolution,1.0-12V,Combustão,M-5,S,E,95,"9,8","10,7","13,1",1
Compacto,Hyundai,HB20,Sport,1.0-12V T,Combustão,A-6,S,E,101,"8,6","10,2","12,2",1
Compacto,Hyundai,HB20,Vision,1.0-12V T,Combustão,A-6,S,E,102,"8,6","10,2","12,2",1
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,S,E,102,"8,6","10,2","12,2",1
Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,Combustão,A-6,S,E,102,"8,6","10,2","12,2",1
Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,M-6,S,E,91,"9,5","10,9","13,7",1
Compacto,MINI,Cooper,S Electric,Elétrico,Elétrico,A,S,E,0,\,\,"38,5",1
Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,S,E-H,118,\,\,"10,3",1
Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,S,E-H,116,\,\,"10,3",1
Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,S,E-H,117,\,\,"10,3",1
Compacto,PEUGEOT,E-208,GT,Elétrico,Elétrico,A-1,S,E,0,\,\,"37,8",1
Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,Combustão,A-6,S,E,112,"7,7","9,1","11,1",1
Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,Combustão,A-6,S,E,112,"7,7","9,1","11,1",1
Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,Combustão,A-6,S,E,112,"7,7","9,1","11,1",1
Compacto,PEUGEOT,208,LIKE MT,1.0-6V,Combustão,MT-5,S,E,85,"10,4","11,3","14,7",1
Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,MT-5,S,E,91,"9,6","11,0","13,6",1
Compacto,Renault,Sandero,SEDTION BS,1.0-12V,Combustão,M-5,S,E-H,93,"10,0","10,2","13,9",1
Compacto,Renault,Sandero,SEDITION,1.0-12V,Combustão,M-5,S,E-H,93,"10,0","10,2","13,9",1
Compacto,Renault,Sandero,LIFE10MT,1.0-12V,Combustão,M-5,S,E-H,93,"10,0","10,2","13,9",1
Compacto,Renault,Sandero,RLIN,1.0-12V,Combustão,M-5,S,E-H,93,"10,0","10,2","13,9",1
Compacto,Renault,Sandero,ZEN10MT,1.0-12V,Combustão,M-5,S,E-H,93,"10,0","10,2","13,9",1
Compacto,VW,GOL,MPI,1.0-12V,Combustão,M - 5,S,H,92,"9,4","10,7","13,7",1
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,122,\,\,"10,2",1
Médio,AUDI,A3 Sportback,Performance Black (ed.0),2.0 - 16V,Híbrido,A-7,S,E,122,\,\,"10,2",1
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,125,\,\,"10,0",1
Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,125,\,\,"10,0",1
Médio,BMW,118i,-,1.5 - 12V,Combustão,DCT-7,S,E-H,110,\,\,"11,5",1
Médio,BMW,i3,120Ah BEV,Elétrico,Elétrico,A,S,E,0,\,\,"47,7",1
Médio,CHEVROLET,BOLT,LT,Elétrico,Elétrico,A,S,E,0,\,\,"45,3",1
Médio,CHEVROLET,BOLT,PREMIER,Elétrico,Elétrico,A,S,E,0,\,\,"45,3",1
Médio,CHEVROLET,ONIX,10MT HB MY 22/22,1.0 - 12 V,Combustão,M-6,S,E,88,"9,5","12,0","13,8",1
Médio,CHEVROLET,ONIX,10MT LT1 MY 22/22,1.0 - 12 V,Combustão,M-6,S,E,88,"9,5","12,0","13,8",1
Médio,CHEVROLET,ONIX,10MT LT2 22/22,1.0 - 12 V,Combustão,M-6,S,E,88,"9,5","12,0","13,8",1
Médio,CHEVROLET,ONIX,10MT HB MY 22/23,1.0 - 12 V,Combustão,M-7,S,E,90,"9,4","11,6","13,3",1
Médio,CHEVROLET,ONIX,10MT LT1 MY 22/23,1.0 - 12 V,Combustão,M-8,S,E,90,"9,4","11,6","13,3",1
Médio,CHEVROLET,ONIX,10MT LT2 MY 22/23,1.0 - 12 V,Combustão,M-9,S,E,90,"9,4","11,6","13,3",1
Médio,CHEVROLET,ONIX,10TAT HB,1.0T - 12 V,Combustão,A-6,S,E,101,"8,4","10,4","11,9",1
Médio,CHEVROLET,ONIX,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,101,"8,4","10,4","11,9",1
Médio,CHEVROLET,ONIX,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,101,"8,4","10,4","11,9",1
Médio,CHEVROLET,ONIX,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,101,"8,4","10,4","11,9",1
Médio,CHEVROLET,ONIX,10TAT RS,1.0T - 12 V,Combustão,A-6,S,E,105,"8,2","9,8","11,8",1
Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,92,"9,1","11,1","13,1",1
Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,92,"9,1","11,1","13,1",1
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/22,1.0 - 12 V,Combustão,M-6,S,E,86,"9,6","12,5","13,8",1
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/22,1.0 - 12 V,Combustão,M-6,S,E,86,"9,6","12,5","13,8",1
Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/23,1.0 - 12 V,Combustão,M-6,S,E,87,"9,5","12,4","13,6",1
Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/23,1.0 - 12 V,Combustão,M-6,S,E,87,"9,5","12,4","13,6",1
Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,Combustão,A-6,S,E,95,"8,4","12,2","12,3",1
Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,Combustão,A-6,S,E,95,"8,4","12,2","12,3",1
Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,Combustão,A-6,S,E,95,"8,4","12,2","12,3",1
Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,Combustão,A-6,S,E,95,"8,4","12,2","12,3",1
Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,89,"9,3","11,8","13,4",1
Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,89,"9,3","11,8","13,4",1
Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,118,"7,2","8,9","10,5",1
Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,Combustão,A-6,S,E,118,"7,2","8,9","10,5",1
Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,124,"6,9","8,7","10,0",1
Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,124,"6,9","8,7","10,0",1
Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,S,E,125,"6,9","8,6","9,8",1
Médio,CHEVROLET,SPIN,1.8L AT LT / 1.8L AT LS,1.8L -8V,Combustão,A-6,S,E,121,"7,2","8,8","10,2",1
Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,S,E,125,"6,9","8,6","9,8",1
Médio,FIAT,CRONOS,DRIVE,1.3-8V,Combustão,M-5,S,E,93,"9,1","11,2","13,0",1
Médio,FIAT,CRONOS,1.3,1.3-8V,Combustão,M-5,S,E,93,"9,1","11,2","13,0",1
Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,S,E,94,"9,2","10,5","13,1",1
Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,S,E,94,"9,2","10,5","13,1",1
Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,S,E,94,"9,2","10,5","13,1",1
Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,S,E,95,"9,1","10,5","13,3",1
Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,S,E,95,"9,1","10,5","13,3",1
Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,CVT,S,E,100,"8,8","9,8","12,7",1
Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,CVT,S,E,100,"8,8","9,8","12,7",1
