Categoria,Marca,Modelo,Versão,Motor,"Tipo
de
Propulsão","Transmissão
Velocidades (nº)","Ar
Cond.","Direção
Assistida",Combustível,Emissões no Escapamento,,None_1,None_2,None_3,None_4,None_5,Quilometragem por Litro,None_6,None_7,None_8,None_9,None_10,"Consumo
Energético
(MJ/km)","Autonomia
no modo
Elétrico
(km)
Norma
SAE J1634","Classificação
PBEV 2023",None_11,"Selo
CONPET
de
Eficiência
Energética
((A+B).A)
.
(A.(A+B))",Página,Ano
,,,,,,"Manual (M)
Automática (A)
Automática Dupla
Embreagem (DCT)
Automatizada (MTA)
Contínua (CVT)","Sim
(S)
Não
(N)","Hidráulica
(H)
Mecânica
(M)
Elétrica (E)
Eletro-
hidráulica
(E-H)","Elétrico Puro
(E)
Gasolina
(G)
Flex (F)
Diesel (D)",Poluentes,,,,Gás Efeito Estufa,,,,,,,,,,,,,,1,2023
,,,,,,,,,,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)","Redução
Relativa
ao
Limite",Etanol,"Gasolina
ou
Diesel",VEHP,Etanol,,"Gasolina
ou
Diesel",,"Elétrico
VE ou VEHP
(km/l equivalente)",,,,,,,1,2023
,,,,,,,,,,,,,,"CO2
fóssil
(g/km)","CO2
fóssil
(g/km)","CO2e
fóssil
(g/km)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l)","Estrada
(km/l)","Cidade
(km/l e)","Estrada
(km/l e)",,,"Comparação
Relativa na
Categoria","Comparação
Absoluta
Geral",,1,2023
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,ELÉTRICO,Elétrico,A,S,E,E,\,\,\,A,\,\,\,\,\,\,\,"48,8","36,8","0,48",197,A,A,-,1,2023
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,Elétrico,A-1,S,E,E,\,\,\,A,\,\,\,\,\,\,\,"47,3","40,4","0,46",227,A,A,-,1,2023
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,Combustão,M-5,N,M,F,38,263,3,A,0,88,\,"9,8","11,0","14,2","15,5",\,\,"1,44",\,B,B,-,1,2023
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,Combustão,M-5,S,H,F,40,257,2,A,0,93,\,"9,6","10,4","13,5","15,0",\,\,"1,50",\,C,B,-,1,2023
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,Combustão,M-5,S,H,F,40,257,2,A,0,93,\,"9,6","10,4","13,5","15,0",\,\,"1,50",\,C,B,-,1,2023
Sub Compacto,JAC,e-JS1,e-JS1,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"40,9","30,3","0,57",161,A,A,-,1,2023
Sub Compacto,JAC,e-JS1,e-JS1 EXT,ELÉTRICO,Elétrico,A-1,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"40,9","30,3","0,57",161,A,A,-,1,2023
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,"52,7","39,6","0,44",185,A,A,-,1,2023
