categoria,marca,modelo,versao,motor,transmissao,ar_condicionado,direcao,combustivel,km_etanol_cidade,km_etanol_estrada,km_gasolina_cidade,km_gasolina_estrada,ano
Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,ELÉTRICO,A,S,E,E,\,\,\,\,2023
Sub Compacto,FIAT,500E,ICON,ELÉTRICO,A-1,S,E,E,\,\,\,\,2023
Sub Compacto,FIAT,MOBI,EASY,1.0-8V,M-5,N,M,F,"9,8","11,0","14,2","15,5",2023
Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,M-5,S,H,F,"9,6","10,4","13,5","15,0",2023
Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,M-5,S,H,F,"9,6","10,4","13,5","15,0",2023
Sub Compacto,JAC,e-JS1,e-JS1,ELÉTRICO,A-1,S,E,E,\,\,\,\,2023
Sub Compacto,JAC,e-JS1,e-JS1 EXT,ELÉTRICO,A-1,S,E,E,\,\,\,\,2023
Sub Compacto,Renault,E-KWID,INTENS,Elétrico,A,S,E,E,\,\,\,\,2023
Compacto,FIAT,ARGO,DRIVE 1.0 (CY23),1.0-6V,M-5,S,E,F,"9,3","10,3","13,4","14,6",2023
Compacto,FIAT,ARGO,1.0 (CY23),1.0-6V,M-5,S,E,F,"9,3","10,3","13,4","14,6",2023
Compacto,FIAT,ARGO,DRIVE AT (MY23),1.3-8V,CVT-7,S,E,F,"8,9","10,6","12,8","14,6",2023
Compacto,FIAT,ARGO,DRIVE,1.3-8V,M-5,S,E,F,"9,1","10,5","13,1","15,0",2023
Compacto,FIAT,ARGO,1.0,1.0-6V,M-5,S,E,F,"9,4","10,2","13,3","14,7",2023
Compacto,FIAT,ARGO,DRIVE 1.0,1.0-6V,M-5,S,E,F,"9,4","10,2","13,3","14,7",2023
Compacto,Hyundai,HB20,Sense,1.0-12V,M-5,S,E,F,"9,6","10,4","13,3","14,6",2023
Compacto,Hyundai,HB20,Comfort,1.0-12V,M-5,S,E,F,"9,6","10,4","13,3","14,6",2023
Compacto,Hyundai,HB20,Limited,1.0-12V,M-5,S,E,F,"9,6","10,4","13,3","14,6",2023
Compacto,Hyundai,HB20,Platinum,1.0-12V,M-5,S,E,F,"9,6","10,4","13,3","14,6",2023
Compacto,Hyundai,HB20,Comfort,1.0-12V T,M-6,S,E,F,"9,4","10,6","13,4","14,6",2023
Compacto,Hyundai,HB20,Platinum,1.0-12V T,A-6,S,E,F,"8,3","9,9","11,7","13,9",2023
Compacto,Hyundai,HB20,Sense,1.0-12V T,A-6,S,E,F,"8,3","9,9","11,7","13,9",2023
Compacto,Hyundai,HB20,Platinum Smart Sense,1.0-12V T,A-6,S,E,F,"9,0","10,3","12,7","14,0",2023
Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,A-6,S,E,F,"9,0","10,3","12,7","14,0",2023
